id,prompt,codigo_ref
41,crie uma condição que verifique se a string casa é igual a moradia e defina a variável sinonimos como verdadeira,se("casa" == "moradia"){sinonimos = verdadeiro;}
42,crie uma condição que verifique se a string senha é igual a 1234 e incremente a variável acessos,se(senha == "1234"){acessos = acessos + 1;}
43,crie uma condição que verifique se a variável altura é maior ou igual a 1.75 e defina a variável aprovado como verdadeira,se(altura >= 1.75){aprovado = verdadeiro;}
44,crie uma condição que verifique se o preço é menor que 100 e aplique um desconto de 10 na variável preco,se(preco < 100){preco = preco - 10;}
45,crie uma condição que verifique se a variável nota é maior ou igual a 6 e atribua Aprovado à variável situacao,se(nota >= 6){situacao = "Aprovado";}
46,crie uma condição que verifique se a variável velocidade é menor que 60 e imprima Velocidade permitida,se(velocidade < 60){escreva("Velocidade Permitida");}
47,crie uma condição que verifique se a variável idade é igual a 30 e some 1 à variável contador,se(idade == 30){contador = contador + 1;}
48,crie um bloco senão que escreva Condição não satisfeita,senão{escreva("Condição não satisfeita");}
49,crie um bloco senão que escreva Limite excedido,senão{escreva("Limite excedido");}
50,crie um bloco senão que escreva Operação inválida,senão{escreva("Operação inválida");}
51,crie um bloco senão que escreva Login inválido,senão{escreva("Login inválido");}
52,crie um bloco senão que escreva Chave incorreta,senão{escreva("Chave incorreta");}
53,crie um bloco senão que escreva Saldo insuficiente para saque,senão{escreva("Saldo insuficiente para saque");}
54,crie um bloco senão que escreva Usuário não encontrado,senão{escreva("Usuário não encontrado");}
55,crie um bloco senão que escreva Processo não concluído,senão{escreva("Processo não concluído");}
56,crie um bloco senão que escreva Produto não selecionado,senão{escreva("Produto não selecionado");}
57,crie um bloco senão que escreva Operação cancelada,senão{escreva("Operação cancelada");}
58,crie um bloco senão que escreva Erro de sistema,senão{escreva("Erro de sistema");}
59,crie um bloco senão que escreva Pagamento pendente,senão{escreva("Pagamento pendente");}
60,mostrar a saudação Olá Mundo!,escreva("Olá Mundo");
61,exibir a string São Paulo,escreva("São Paulo");
62,somar 7 e 3 e exibir o resultado,escreva(7 + 3);
63,concatenar as palavras Bom e dia e exibir o resultado,escreva("Bom " + "dia");
64,exibir o resultado da subtração de 20 e 5,escreva(20 - 5);
65,juntar as strings Maria e Silva e mostrar o resultado,escreva("Maria " + "Silva");
66,exibir o resultado da multiplicação de 6 e 7,escreva(6 * 7);
67,exibir o resultado da divisão de 100 por 4,escreva(100 / 4);
68,concatenar as strings Oi e amigo e exibir o resultado,escreva("Oi " + "amigo");
69,somar 1000 com 2500 e exibir o resultado,escreva(1000 + 2500);
70,exibir a mensagem Atenção! Sistema fora do ar,escreva("Atenção! Sistema fora do ar");
71,concatenar as frases Como vai? e Tudo bem? e mostrar o resultado,escreva("Como vai? " + "Tudo bem?");
72,exibir a soma de 50 e 75,escreva(50 + 75);
73,exibir a string Até logo!,escreva("Até logo!");
74,exibir a diferença entre 90 e 33,escreva(90 - 33);
75,exibir a multiplicação de 12 com 12,escreva(12 * 12);
76,concatenar as strings João e Souza e exibir o resultado,escreva("João " + "Souza");
77,exibir o resultado da divisão de 144 por 12,escreva(144 / 12);
78,exibir o resultado da soma de 3.5 e 4.5,escreva(3.5 + 4.5);
79,exibir a concatenação de Boa e tarde,escreva("Boa " + "tarde");
80,exibir resultado da subtração de 10.5 por 2.3,escreva(10.5 - 2.3);
81,exibir o resultado da multiplicação entre 1.5 e 4.0,escreva(1.5 * 4.0);
82,exibir o resultado da divisão decimal de 7.5 por 2.5,escreva(7.5 / 2.5);
83,exibir o aviso Erro: arquivo não encontrado,escreva("Erro: arquivo não encontrado");
84,exibir a soma de 25 e 5,escreva(25 + 5);
85,exibir a concatenação das strings Rua A e Número 10,escreva("Rua A " + "Número 10");
86,exibir a subtração de 100 e 47,escreva(100 - 47);
87,exibir o resultado de multiplicação de 15 e 3,escreva(15 * 3);
88,exibir a concatenação das strings Ciência e da Computação,escreva("Ciência " + "da Computação");
89,exibir o resultado da divisão de 300 por 3,escreva(300 / 3);
90,exibir a soma de 200 e 150,escreva(200 + 150);
91,exibir a concatenação de duas mensagens informativas: Processando e Dados,escreva("Processando " + "Dados");
92,exibir diferença entre 2025 e 1990,escreva(2025 - 1990);
93,exibir a multiplicação entre 20 e 30,escreva(20 * 30);
94,exibir a concatenação entre duas strings Muito e Bom,escreva("Muito " + "bom");
95,crie uma condição que verifique se a variável temperatura é maior que 40 e declare como verdadeiro o valor da variável alerta_calor,se(temperatura > 40){alerta_calor = verdadeiro;}
96,crie uma condição que verifique se a variável nota é igual a 10 e atribua Parabéns! à variável mensagem,se(nota == 10){mensagem = "Parabéns!";}
97,crie uma condição que verifique se a variável velocidade é menor que 30 e mude a variável marcha para 2,se(velocidade < 30){marcha = 2;}
98,crie uma condição que verifique se a variável distancia é igual a 100 e some 10 à variável pontos,se(distancia == 100){pontos = pontos + 10;}
99,crie uma condição que verifique se a variável saldo é menor que 100 e envie um alerta de saldo baixo,se(saldo < 100){escreva("Saldo baixo");}
100,crie uma condição que verifique se a variável numero é maior que 50 e divida numero por 2,se(numero > 50){numero = numero / 2;}
