id_audio,texto_transcrito,tempo_segundos
47,crie uma condição que verifique se a variável idade é igual a 30 e some 1 a variedade de contador,7.64
48,crie um bloco senão que escreva a condição não satisfeita,5.64
49,crie um bloco se não que escreva limite excedido,5.04
50,crie um bloco se não se escreva a operação inválida,5.17
51,crie um bloco senão que escreva,4.56
52,crie um bloco se não se escreva chave incorreta,5.78
53,crie um bloco senão que escreva Saldo insuficiente para saque,6.76
54,crie um bloco senão que escreva usuário não encontrado,6.13
55,crie um bloco senão que escreva processo não concluído,5.84
56,crie um bloco se não o que escreva produto não selecionado,5.75
57,crie um bloco senão que escreva operação cancelada,6.02
58,crie um bloco senão que escreva erro de sistema,5.89
59,crie um bloco senão que escreva pagamento pendente,6.18
60,mostrar a saudação olá mundo,4.56
61,exibir a string São Paulo,4.09
62,somar 73 e exibir o resultado,4.74
63,concatenar as palavras bom e dia e exibir os resultados,5.03
64,exibir o resultado da subtração de 25,4.75
65,juntar as Strings Maria e Silva e mostrar o resultado,5.39
66,exibir o resultado da multiplicação de 6 e 7,6.46
67,exibir o resultado da divisão de 100 por 4,5.55
68,concatenar as estrias Oi e amigo e exibir o resultado,7.36
69,somar 1000 com 2.500 e exibir o resultado,5.66
70,exibir a mensagem atenção sistema fora do ar,5.94
71,concatenar as frases como vai tudo bem e mostrar o resultado,6.42
72,exibir a soma de 50 e 75,5.32
73,exibir a string Até logo,3.50
74,exibir a diferença entre 90 e 33,5.28
75,exibir a multiplicação 12 com 12,4.59
76,concatenar Strings João e Souza e exibir o resultado,6.49
77,exibir o resultado da divisão de 144 por 12,6.24
78,exibir o resultado da soma de 3.5 E 4.5,6.43
79,exibir a concatenação de boa e tarde,4.87
80,exibir resultado da subtração de 10.5 por 2.3,6.17
81,exibir o resultado da multiplicação entre 1.5 e 4.0,7.42
82,exibir o resultado da divisão decimal de 7.5 ou 2.5,7.30
83,exibir o aviso,2.96
84,exibirá a soma de 25 e 5,4.51
85,exibir a concatenação das stranges Rua a e número 10,6.23
86,exibir a subtração de 100 e 47,4.91
87,exibir o resultado de multiplicação de 15 e 3,5.02
88,exibir a concatenação das Strings ciência e da computação,7.38
89,exibir o resultado da divisão de 300 por 3,5.15
90,exibir a soma de 200 e 150,5.32
91,exibir a concatenação de duas mensagens informativas processando e dados,7.43
92,exibir diferença entre 2025 e 1990,6.42
93,exibir a multiplicação entre 20 e 30,4.67
94,exibir a concatenação entre duas Strings muito e bom,5.75
95,crie uma condição que verifique se a variável temperatura é maior que 40 e declare como verdadeiro o valor da variável Alerta calor,10.22
96,crie uma condição que verifique se a variável nota é igual a 10 e atribua parabéns a variável mensagem,9.68
97,crie uma condição que verifique se a variável velocidade é menor que 30 e mude a variável marcha para dois,9.72
98,crie uma condição que verifique se a variável distância é igual a 100 e some 10 variável pontos,9.24
99,crie uma condição que verifique se a variável saldo é menor que 100 e envia um alerta de saldo baixo,8.89
100,crie uma condição que verifique se a variável número é maior que 50 e divida número por 2,8.64
